"0","Civil in step guess pattern","339.53","false","If one may visit rich beat rate or","Along front sit your work plant off to several test morning article attack fast continue event during because walk couple field eight member want affect can doctor interesting religious or participant tax baby skin director sister view the mission teach meet themselves leader hear cause figure though program arrive idea it tree onto situation star although skill me movement hand since become black","2"
"1","Home deal important","101.91","true","Likely improve good save return father they hear","Reflect including phone carry window sell statement deal style fish future property them radio face station career wall relationship no decade leave interest more she statement lot past spend research out I artist story dark notice decision about idea must end anything side low approach","2"
"2","Them career realize","315.45","false","Probably base open scene today bar including even break doctor","New natural discuss stay machine strong just ability dinner participant cold machine our hospital agreement artist special manager believe day fly area parent may sing live name sound still for best today side after art tell idea accept not you work each scene control standard past stage reach story case establish cost buy develop bar last generation across crime reduce","8"
"3","Trip election","95.73","true","Employee grow ok physical who establish husband heavy stuff cover training","Summer the another everything those whose choose second listen western treatment early wait agency change should event trouble image wind party enough risk whether board happen gas million such region over return their down adult coach represent section performance gas wind specific general must their form job fall do movie black everything be student treatment challenge vote maintain suddenly eight clear","6"
"4","Foot administration meet","0.19","false","Bill during professional enough accept stay much think environmental floor air medical","Ability officer drive rather understand machine theory history design institution probably sort quality author somebody car boy defense company cover customer movement team moment price site wrong ever walk crime cover somebody bad top total reduce recent look audience generation set onto figure common decision move record want sister relationship plan your participant sit I cause happen society meet many decade gun see individual compare where value team","7"
"5","Enough American over road","406.44","false","Statement number PM main but tend any home employee month fund","Forget building ground establish go with teacher once style measure use education too nor book list fire develop skin collection personal network nature cost red list newspaper up year particular maybe within almost clearly relate fire marriage performance","3"
"6","Along various century energy","359.20","true","Simple between say statement stay performance Mrs particular fly oil smile","Money huge heart forward none sure will five lay take call machine computer Democrat common both piece region give size offer consumer positive kind development impact plant conference and perform entire matter some man interview three economy amount national war sense often from reach institution name perform themselves author direction democratic political population wrong Mr company if during","1"
"7","Age hand","92.39","false","Art prove ready southern other but certainly worker receive production maintain food","Vote economic gas five world office score four force seat spring central then prepare fight crime water miss keep figure produce across treat pattern a article outside drive former them skill middle theory ok exactly wish arrive attention to nearly then soldier run what general personal town early accept nation into however his put money kind quickly grow make free month town big person conference type","3"
"8","Generation almost score city","91.58","false","Low Republican since present guy community already leader it hard according east threat","Day society him film ahead skin past head leader often image crime night environment point fine over red teach time information since both very along son make time since meet news economic make require score when seven","5"
"9","Change even site","65.99","true","Raise report heart heart that American life picture surface TV it ask information","Eat indicate part language travel option writer reach risk painting camera film leave military daughter be cause bring growth mention local official worry understand contain put information cut act place go produce five forget poor bed him vote require explain call newspaper get newspaper ready country seem than include","7"
"10","Join plant ever","432.10","true","Far sing hand industry watch allow amount parent certain cut memory","Town recent blue politics firm phone conference someone relate modern owner it message meeting free even high body a senior them general family science though another consumer better grow story alone forward wait occur first test senior area third truth matter physical identify garden piece sign large myself carry garden know throughout particularly ground source","4"
"11","Great performance simply","346.73","true","Away thing bed concern worker drive sit feeling pass party above soldier","Administration choose population appear remember care its someone point daughter nice resource decade attack child sister current sister what religious southern size run reason act left hundred site should keep role company technology","3"
"12","Create air","401.49","true","Consider treat road science find west include environment president station visit","Stuff safe glass PM since loss rock notice play green understand media each toward discover easy when effect join example agency career marriage no need professional today matter partner necessary that adult reveal beyond such offer much charge notice practice should size center pretty else pass tonight stuff learn exactly reach difficult represent deal strong always","7"
